region,checkins,users,venues,region_abbr
"San Diego-Carlsbad, CA",50018,686,5144,SD-C
"San Francisco-Oakland-Hayward, CA",95823,1560,9587,SF-O-H
"Orlando-Kissimmee-Sanford, FL",35330,541,2658,O-K-S
"Chicago-Naperville-Elgin, IL-IN-WI",112505,1617,10717,C-N-E
"New York-Newark-Jersey City, NY-NJ-PA",316812,4744,24783,NY-N-JC
"Minneapolis-St. Paul-Bloomington, MN-WI",46490,696,4600,M-SP-B
"Boston-Cambridge-Newton, MA-NH",56818,918,5860,B-C-N
"Miami-Fort Lauderdale-West Palm Beach, FL",39930,616,5319,M-FL-WPB
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",63385,895,5415,P-C-W
"Seattle-Tacoma-Bellevue, WA",61338,868,5897,S-T-B
"Detroit-Warren-Dearborn, MI",37917,515,4139,D-W-D
"Los Angeles-Long Beach-Anaheim, CA",162570,2513,19495,LA-LB-A
"Dallas-Fort Worth-Arlington, TX",66932,886,6268,D-FW-A
"Phoenix-Mesa-Scottsdale, AZ",55343,744,5978,P-M-S
"Houston-The Woodlands-Sugar Land, TX",42094,564,4423,H-TW-SL
"Austin-Round Rock, TX",34726,557,2752,A-RR
"Atlanta-Sandy Springs-Roswell, GA",46860,724,5279,A-SS-R
"Washington-Arlington-Alexandria, DC-VA-MD-WV",66874,1141,6675,W-A-A
