region,users,venues,checkins
"San Diego-Carlsbad, CA",686,5144,50018
"San Francisco-Oakland-Hayward, CA",1560,9587,95823
"Orlando-Kissimmee-Sanford, FL",541,2658,35330
"Chicago-Naperville-Elgin, IL-IN-WI",1617,10717,112505
"New York-Newark-Jersey City, NY-NJ-PA",4744,24783,316812
"Minneapolis-St. Paul-Bloomington, MN-WI",696,4600,46490
"Boston-Cambridge-Newton, MA-NH",918,5860,56818
"Miami-Fort Lauderdale-West Palm Beach, FL",616,5319,39930
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",895,5415,63385
"Seattle-Tacoma-Bellevue, WA",868,5897,61338
"Detroit-Warren-Dearborn, MI",515,4139,37917
"Los Angeles-Long Beach-Anaheim, CA",2513,19495,162570
"Dallas-Fort Worth-Arlington, TX",886,6268,66932
"Phoenix-Mesa-Scottsdale, AZ",744,5978,55343
"Houston-The Woodlands-Sugar Land, TX",564,4423,42094
"Austin-Round Rock, TX",557,2752,34726
"Atlanta-Sandy Springs-Roswell, GA",724,5279,46860
"Washington-Arlington-Alexandria, DC-VA-MD-WV",1141,6675,66874

